Tanggal,Minyak Sawit,Karet Kering,Teh
2009-01,1427.1,50.0,8.8
2009-02,1188.0,45.5,7.9
2009-03,1346.7,40.1,8.5
2009-04,1193.5,38.8,9.3
2009-05,1239.5,47.2,10.3
2009-06,1263.2,43.5,8.5
2009-07,1179.3,45.8,8.4
2009-08,1084.2,41.7,8.1
2009-09,867.3,38.4,7.9
2009-10,1099.3,38.2,10.0
2009-11,1038.7,39.9,9.7
2009-12,945.8,53.2,10.0
2010-01,1350.4,51.8,8.2
2010-02,1160.3,47.1,7.4
2010-03,1300.6,41.6,9.7
2010-04,1180.8,40.2,9.1
2010-05,1216.9,48.9,9.7
2010-06,1271.6,45.1,8.8
2010-07,1202.4,47.5,7.7
2010-08,1139.5,43.3,7.6
2010-09,979.3,39.9,7.7
2010-10,1130.7,39.7,8.4
2010-11,1082.8,41.4,7.8
2010-12,1023.0,55.1,7.9
2011-01,1555.87,54.85,7.78
2011-02,1293.69,49.92,6.89
2011-03,1457.4,43.98,8.86
2011-04,1297.32,42.44,8.42
2011-05,1343.1,51.67,8.66
2011-06,1388.57,47.61,8.54
2011-07,1295.36,50.26,7.38
2011-08,1201.17,45.87,6.92
2011-09,961.25,42.25,7.69
2011-10,1212.67,41.93,7.81
2011-11,1152.03,43.76,7.77
2011-12,1039.62,58.27,8.4
2012-01,1720.83,55.8,7.7
2012-02,1432.38,50.79,7.17
2012-03,1611.7,44.74,8.53
2012-04,1434.3,43.17,8.12
2012-05,1486.59,52.57,8.47
2012-06,1535.39,48.44,8.03
2012-07,1431.03,51.14,6.96
2012-08,1326.04,46.67,6.62
2012-09,1063.01,42.99,6.92
2012-10,1344.62,42.65,7.35
2012-11,1278.01,44.52,7.94
2012-12,1153.89,59.28,7.85
2013-01,1572.21,60.04,7.51
2013-02,1311.11,52.15,6.54
2013-03,1485.47,51.24,6.31
2013-04,1593.52,47.67,8.93
2013-05,1560.58,51.0,8.93
2013-06,1630.9,47.04,8.47
2013-07,1370.56,54.1,9.09
2013-08,1366.1,54.16,8.13
2013-09,1361.63,54.23,8.1
2013-10,1375.0,60.25,8.07
2013-11,1379.46,62.97,8.04
2013-12,1383.93,75.57,8.0
2014-01,1455.57,52.7,8.69
2014-02,1375.33,51.3,7.86
2014-03,1506.96,49.9,9.36
2014-04,1609.76,46.3,9.29
2014-05,1635.14,51.3,9.56
2014-06,1653.7,51.1,8.63
2014-07,1537.23,52.1,8.22
2014-08,1829.98,46.0,8.12
2014-09,1745.77,39.53,7.97
2014-10,1644.51,41.9,8.42
2014-11,1572.18,42.5,8.61
2014-12,1506.66,45.12,8.78
2015-01,1564.6,35.68,7.6
2015-02,1470.59,35.56,6.4
2015-03,1611.54,35.84,6.73
2015-04,1713.73,31.9,8.53
2015-05,1752.77,41.58,7.86
2015-06,1778.8,41.31,7.77
2015-07,1658.42,35.21,6.47
2015-08,1975.09,31.0,6.84
2015-09,1903.36,74.03,6.32
2015-10,1782.41,72.08,6.18
2015-11,1703.38,63.85,5.94
2015-12,1627.53,78.73,6.51
2016-01,1594.51,37.54,8.58
2016-02,1523.1,37.44,7.57
2016-03,1498.2,37.76,7.68
2016-04,1515.88,33.6,8.4
2016-05,1505.81,43.52,7.85
2016-06,1576.95,43.3,7.6
2016-07,1496.82,37.01,7.26
2016-08,1671.25,32.64,7.48
2016-09,2001.68,77.04,6.92
2016-10,1891.22,75.05,7.06
2016-11,1841.75,66.53,7.13
2016-12,1795.29,81.79,7.54
2017-01,1833.26,39.23,7.73
2017-02,1710.8,39.36,7.28
2017-03,1758.03,39.66,7.14
2017-04,1721.95,35.23,8.06
2017-05,1809.5,45.53,8.08
2017-06,1684.22,45.36,6.93
2017-07,1944.41,38.87,8.2
2017-08,1897.57,34.32,7.11
2017-09,1886.92,80.08,6.88
2017-10,1840.43,78.15,7.77
2017-11,1843.96,69.33,8.29
2017-12,1818.06,85.09,8.46
2018-01,1654.11,40.16,8.71
2018-02,1547.02,40.01,6.56
2018-03,1744.35,39.15,7.15
2018-04,1813.23,36.73,8.22
2018-05,1973.55,42.75,7.71
2018-06,1744.25,42.95,6.4
2018-07,2155.57,40.28,7.65
2018-08,2075.95,35.32,5.99
2018-09,2093.69,49.37,6.78
2018-10,2075.7,51.21,8.12
2018-11,1931.94,48.77,8.48
2018-12,1785.71,52.39,8.25
